GS - 5: 0E-16, time: 47
GJ - 5: 0E-16, time: 32
GS - 10: 0.0025952458198085, time: 6914
GJ - 10: 0.0025952458198085, time: 3113
GS - 15: 0.0067911547572482, time: 70552
GJ - 15: 0.0067912756071849, time: 29255
GS - 20: 0.0042827835608038, time: 845623
GJ - 20: 0.0155768363646840, time: 313467
GS - 25: 0.0066926382116186, time: 1952400
GJ - 25: 0.0622042448683948, time: 638727
