GS - 10: 7.152557373046875E-7, time: 11
GJ - 10: 0.000006735324859619141, time: 13
GS - 20: 0.00102272629737854, time: 193
GJ - 20: 0.01557701826095581, time: 177
GS - 30: 0.02482786774635315, time: 870
GJ - 30: 0.1457749903202057, time: 824
GS - 40: 0.11494249105453491, time: 2918
GJ - 40: 0.4021804928779602, time: 2718
GS - 50: 0.2858247458934784, time: 7452
GJ - 50: 0.7025904655456543, time: 7695
