GS - 10: 1.2264958992869168E-8, time: 48
GJ - 10: 0.0000069336339150183335, time: 66
GS - 20: 0.001022617039446283, time: 350
GJ - 20: 0.015576836364684543, time: 412
GS - 30: 0.02482776003291881, time: 891
GJ - 30: 0.14577496743849083, time: 829
GS - 40: 0.11494294220369922, time: 2753
GJ - 40: 0.4021806370833837, time: 2580
GS - 50: 0.28582419314148266, time: 7854
GJ - 50: 0.7025902737349792, time: 7098
